question number,question text,answer,explination,,,,,,,,,,,,,,,,,,,,,,
Question: 21,"An app builder at DreamHouse Realty created a custom object which has fields containing data from two different objects via related lookups.  
What is needed to create ""with"" or ""without* reports on the new custom object?

A. Row-Level Formula
B. Report Bucket Field 
C. Report Filters
D. Custom Report Type
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 22,"A new custom object is being created with a private sharing setting. The business wants to share individual records with specific people or group of people on a case by case basis. What options does the business user have to manually share individual records? Choose 3 answers

A. Public Groups B. Permission Sets C. Roles  
D. Profiles  
E. Users
","Answer: A,C, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 23,"Northern Trail Outfitters uses a custom object to track travel requests. Rangers want to have automatic posts on a record whenever a travel request has been approved.  
Which feature should be used to accomplish this?

A. Auto-response rule B. Workflow rule  
C. Feed tracking  
D. Feed quick action
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 24,"Universal Containers conduct evaluations of their sales reps using a custom object consisting of numerical scores and executive comments. The company wants to ensure that only the sales reps, and their manager's executive can view the rep's evaluation record but the reps should not be able to view the executive comment field on their review. How can these requirement be met?

A. Use a private sharing model granting record access using hierarchy; manage field access with record types and field-level security  
B. Use a private sharing model granting record access using custom setting; manage field access with page layouts and field level security  
C. Use a private sharing model granting record access using hierarchy; manage field access with field-level security  
D. Use a private sharing model granting record access using custom setting; manage field access with record types and page layouts
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 25,"Cloud Kicks wants to start tracking how many shoe subscriptions have been sold for each shoe catalog. A master-detail relationship exists between the Subscription__c and the Shoe__c objects. Which type of field should an app builder create?

A. Roll-up summary field  
B. Lookup field  
C. Master-detail relationship field D. Number field
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 26,"Universal Containers created a custom object called Component to capture details about products sold.  
What approach should an app builder take to show Component as a related list on Product?

A. Create a master-detail relationship on Product to Component. Add the Component related list to the Product page layout.  
B. Create a junction object to relate Component and Product. Add the Component related list to the Product page layout.

C. Create a roll-up on Product. Add the Component related list to the Product page layout.  
D. Create a lookup relationship on Component to Product. Add the Component related list to the Product page layout.

",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 27,"What are the limitations of Schema Builder when creating a custom object?

A. ""Save"" should be clicked each time a new object, field, or relationship is created.  
B. Fields and relationships can be created, but they will be unable to add the fields to the page layout from the canvas.  
C. Relationships can be made to any custom objects, but any relationships to standard objects should be built in Lightning Object Manager.  D. Custom fields can be added to any custom objects, excluding formula field types.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 28,"Cloud Kicks received a new requirement to calculate summaries from child objects of a standard object. The team would prefer to solve this declaratively.  
What are two considerations an app builder should evaluate?  
Choose 2 answers

A. An app builder is unable to change a lookup to a master-detail relationship.  
B. An object can have up to two master-detail relationships.  
C. A trigger on save or update can kick off calculations.  
D. A value is required in all records of the lookup field prior to converting to a master-detail relationship.
","Answer: A,B",,,,,,,,,,,,,,,,,,,,,,,
Question: 29,"An app builder is creating a Lightning record page and has added Mobile & Lightning Actions to the page layout.  
What two components could be included on the layout to display the actions?  
Choose 2 answers

A. Highlights panel B. Chatter  
C. Activities  
D. Path
","Answer: A,C",,,,,,,,,,,,,,,,,,,,,,,
Question: 30,"VA Cloud Kicks employee submitted an opportunity for approval by their manager.  
What would happen if the employee attempts to edit the description field after submission?

A. User will be presented with a 'Record Lock' notification.  
B. User will be able to edit the description field only.  
C. User will see the record is now owned by their manager.  
D. User will be able to edit the name, but unable to edit the description.
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 31,"An app builder has created a change set and deployed a report from their development sandbox for User Acceptance Testing. When the app builder runs the report, no data is returned.  
What can be a reason for this?

A. Reports have to be deployed with Salesforce DX.  
B. Reports have to be manually re-created in each environment.   C. Data is deployed when added to a change sets.  
D. Data is unable to be deployed with change sets.
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 32,"Which three options art availably when activating a Lightning page from the Lightning App Builder? Choose 3 answers

A. Assign the page to a combination of apps and profiles.  
B. Assign the page to a combination of apps and permission sets. C. Make the page the org default.  
D. Make the page the default homepage for specific roles.  
E. Make the page the default homepage for specific apps.
","Answer: A,C,E",,,,,,,,,,,,,,,,,,,,,,,
Question: 33,"An app builder is creating a custom object called Testimonial__c and wants to connect Testimonial__c records with both the submitter's  
Contact record and Account record. If the Account is deleted, the Testimonial__c should also be deleted. If the Contact is deleted, but the  
Account remains, the Testimonial__c should remain.  
How should this be accomplished?

A. Make both the Contact and Account fields required on the Testimonial__c object and create lookup relationships from  
Testimonial__c to Contact and to Account.  
B. Create a master-detail relationship from Testimonial__c to Account and a lookup relationship from Testimonial__c to Contact.
C. Make Testimonial__c a junction object between Account and Contact using master-detail relationships.  
D. Create a lookup relationship from Testimonial__c to Account and a master-detail relationship from Testimonial__c to Contact.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 34,"An app builder needs to deploy a new account detail page layout from sandbox to production. Which three components should an app builder include in the Change Set to ensure it deploys successfully and visually as expected?  
Choose 3 answers

A. Detail page layout  
B. Custom fields  
C. Custom actions  
D. Lightning App Builder  
E. System administrator profile
","Answer: A,B,C",,,,,,,,,,,,,,,,,,,,,,,
Question: 35,"When an opportunity is closed date is pushed more than 30 days, manager approval is required. An approval process is in place but reps frequently forget to submit for approval to run the process. How can an app builder ensure that these opportunities are submitted into the approval process?

A. Change the entry criteria on the approval process to criteria are met and lock the record on initial submission.  
B. Use a validation rule and an email alert to the manager requesting approval.  
C. Submit the record for approval from an automated process.

D. Give the manager the ""API Enabled"" permission to permit approval responses by email. ",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 36,"Cloud Kicks (CK) keeps track of its shoe inventory in Salesforce. When an order's status is changed to Activated, the inventory for the ordered shoe is reduced. At that point, a SOAP web service on the CK website must be called so that the website is updated to display the correct inventory amount for the shoe.

What should an app builder use to communicate to the CK web service when a shoe's inventory has changed?

A. After-Save Record-Triggered flow 
B. Before-Save Record-Triggered flow 
C. Process Builder  
D. Workflow rule
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 37,"Cloud Kicks asked the app builder to insert a list of 25,000 records using deduplication for the Race_Track__c custom object.  
Which tool should be used?

A. Import Wizard  
B. Lightning Object Creator C. Data Loader  
D. Schema Builder
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 38,"Ursa Major Solar is ramping up the sales team to meet increased demand. As part of the short ramp up for these new reps, the manager wants to provide a help guide to enable reps to easily get help where needed during the different sales processes.  
Which solution should an app builder recommend?

A. Flow  
B. Journey Builder 
C. Chatter Publisher 
D. Path

",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 39,"Cloud Kicks works on an annual subscription model. When a sale rep marks an opportunity as closed won, a new opportunity should automatically be created for the renewal. The contracts team works outside of salesforce but also needs to be notified about closed deals in order to initial the contract process with the customer.

Which automation solution would meet these requirements?

http://www.justcerts.com

Questions & Answers PDF P-15

A. Approval Process  
B. Outbound Message C. Validation Rule  
D. Record-triggered flow
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 40,"An app builder has modified a Lightning record page for a case and has added an email button item to the page layout; however, users are unable to see the new item on the layout.  
What are two potential reasons why users are unable to view the item on the Case Lightning record page?

Choose 2 answers

A. The page layout includes the case feed component.
 B. The email button contains JavaScript.  
C. The case page layout also contains custom buttons. 
D. The page layout excludes the case feed component.
","Answer: B,D",,,,,,,,,,,,,,,,,,,,,,,
Question: 41,"Sales reps at Universal Containers create multiple quotes per opportunity.  
What automation tool should an app builder recommend to delete rejected quotes?

A. Approval process 
B. Validation rule  
C. Workflow rule  
D. Flow
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 42,"Cloud Kicks wants to display the number of opportunities that are Closed Won with a Close Date within the last year on the Account detail page.  
Which tool should an app builder use to implement this?

A. Process Builder
 B. Activity Timeline
C. Roll-Up Summary Field
 D. Workflow Rule
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 43,"A Service Coordinator (SC) for Ursa Major Solar (UMS) does a final review of work orders owned by a technician for a specific region before the records are submitted for an invoice. Before closing out the work order, the SC needs to modify data or remove attachments that were added by mistake. The SC also needs access to any other related records owned by the technician.

What solution would provide the required access, given a private data model?

A. Give the SC a permission set with the Modify All Data system permission.  
B. Put the SC in the role hierarchy above the technicians whose work orders they review.  
C. Create a workflow rule that updates records owned by technicians in that region with the SC. D. Change work order access on the SC's profile to 'Modify AIl.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 44,"Universal Containers would like to embed a chart of all related Opportunities, by stage, on the Account detail page. Which type of report should the App Builder create to add to the Account page layout?

A.	A summary report on the Opportunity object
B.	A summary report on the Account object.  
C.	A tabular report on the Account object.  
D.	A tabular report on the Opportunity object.
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 45,"DreamHouse Realty wants to track how many lifts are being installed into customer garages. The To Be Installed custom checkbox field on the custom Lift object should be checked and an external system should be notified via an outbound message the next day when a lift is sold.  
What automation tool should be used to complete this task?

A. Approval process 
B. Workflow  
C. Flow
D. Process Builder
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 46,"Nickname__c is a custom text field on a contact record that is utilized to override the contact name appearing on an email template. This field is not required and is not always filled in.  
Which formula should an app builder use to select the contact's preferred name for email communications?

A. IF(NOT(ISBLANK(Nickname__c)),Nickname_c,FirstName)  
B. IF(TEXT(Nfckname__c), Nickname_c,FirstName)  
C. IF(ISNUUL(Nteknarne _..c),Nicknamec,Firstftame)  
D. IF(NOT(BLANKVALUE(Nickname__c)),Nickname__c, FirstName)
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 47,"Universal containers (uc) wants to delete data in several fields for 5000 lead records. UC export the selected record IDs and fields that need to have data deleted in a csv file. Which two steps should an app builder suggest to meet these requirements ? Choose 2 answers

A. Select the correct record type  
B. Use import Wizard to update leads using the CSV file 
C. Select insert null values in settings.  
D. Use Data Loader to update leads using the CSV file
","Answer: C, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 48,"Universal Containers (UC) has a custom Invoice object and a custom Invoice Line Item object. TTie Invoice Line Item object has a lookup relationship to the Invoice. UC would like to convert the lookup relationship to a master-detail relationship but is unable to do so.  
Which two reasons could be preventing this relationship conversion?

Choose 2 answers

A. Custom objects are unable to be on the detail side of a master-detail relationship. 
B. There are already two master-detail relationships on the Invoice Line Item.  
C. Invoice Line Item records exist without having the Invoice lookup field populated. 
D. There is a roll-up summary field on the Invoice object.
","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 49,"What are two reason to create an unmanaged package? Choose 2 answers

A. Distributing open-source projects on the AppExchange.  
B. Publishing an application for sale on the AppExchange  
C. Deploying from a Developer Edition environment  
D. Distributing upgradeable components to other Salesforce org
","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 50,"Universal Containers is adding drone delivery to service offerings, and the developer has written and tested code prior to deployment to production, and the change set is ready to go. The deployment window will occur when the developer is on vacation.  
What can the app builder do to ensure a smooth deployment to production?

A. Remove Apex classes from Abound change set. B. Validate the inbound change set.  
C. Use a metadata package set.  
D. Validate the outbound change set.
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 51,"How should an app builder configure access to a contact's Twitter profile for Salesforce mobile app users?

A. Add a formula field to the Contact page layout.  
B. Add an AppExchange Lightning Component to the mobile app. C. Add the Twitter component to mobile view Lightning pages. D. Add a Twitter Quick Action to the mobile navigation.
",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 52,"
Universal Containers would like to collaborate with its customers within Salesforce, and has decided to enable the ""Allow Customer Invitations"" Chatter setting. What permission is granted to Customers when invited to Chatter Group?

A. The ability to invite members to groups of which they are a member 
B. The ability to @mention accounts of which they are a contact.  
C. The ability to request access to public groups  
D. The ability to interact with members of their groups
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 53,"Universal containers wants to display the real time stock price for each account on the account record page. How should an app builder implement this request?

A. Add a dynamic report to the page layout B. Create a lightning web component  
C. Install a solution from the appexchange D. Build a visual flow that users API calls",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 54,"Universal Containers would like to automatically assign a specific permission set to new users. How can this requirement be met? Choose 2 Answers

A. Create an approval process on the User object to assign a permission set B. Create a flow on the user object to assign a permission set.  
C. Create a lightning process on the user object to launch a flow.  
D. Create a workflow rule on the User object to assign a permission set.
","Answer: C, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 55,"Containers have the Account object's Organization-Wide Default set to Private. The marketing team owns Accounts; however, they also need to be able to see the sales team's Accounts. Both the sales and marketing teams are in completely different branches of the rote hierarchy. What feature should be used to enable marketing to see sales-owned accounts.

A. Public Group B. Flow  
C. Workflow  
D. Sharing Rules
",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 56,"
An app builder installed a custom Lightning component from AppExchange and has deployed My Domain.  
What should be done next in order to configure the component for use in a record page?

A. Edit a record page using Lightning App Builder > Drag the component onto the page.  
B. Edit a record page using the Page Layout editor > Drag the component onto the page.  
C. Edit a record page using the Page Layout editor > Drag the Visualforce component onto the page. D. Edit a record page using App Manager > Drag the component onto the page.

",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 57,"What should an app builder consider when choosing a template for a new Lightning record page?

A. The template is unable to be changed after the initial save.  
B. To view the record page, users need ""View All Data"" permissions for the object.  
C. A Page structure will automatically adapt to the device being used to view the record page. D. Select a new template for each type of device users use to view the record page.
`",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 58,"DreamHouse Realty (DR) is expanding into subsidized housing by partnering with local government entitles. DR uses Sales Cloud and has enabled field history tracking on the Opportunity object. Due to increased Information requirements, the App Dev team is changing Text Area (Long) fields to Rich Text fields to allow for up to 1,000 characters and better descriptions.

Which two considerations should be made by the team? Choose 2 answers

A. Rich text field values of all lengths are displayed fully in reports.  
B. Data loss may occur when changing custom field types.  
C. Field History Tracking records value changes of 255 characters or less. D. Audit Trail is available through REST API extracts.
","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 59,"Universal Containers wants to match Opportunity data from Salesforce to the records in a financial database.  
What is required to configure an indirect lookup relationship in Salesforce between the Salesforce Opportunity records and those in a financial database?

A. Salesforce Record ID
B. TEXT(Id)  
C. External ID  
D. CASESAFE(Id)",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 60,"universal containers has 20 different workflows on the opportunity object. To ensure that updates are processing properly for all field updates uc has the re-evaluete workflow rules after field change checkbox checked. Recently after adding a new workflow, users have reported receiving errors about workflow limits. What should a app builder look at so address this?

A. Talk to a developer about apex code issues  
B. Number of workflows per object limits  
C. Workflows that cause each other to fire back and forth recursively 
D. Workflows on other objects that are being re triggered",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 61,"universal containers has 20 different workflows on the opportunity object. To ensure that updates are processing properly for all field updates uc has the re-evaluete workflow rules after field change checkbox checked. Recently after adding a new workflow, users have reported receiving errors about workflow limits. What should a app builder look at so address this?

A. Talk to a developer about apex code issues  
B. Number of workflows per object limits  
C. Workflows that cause each other to fire back and forth recursively 
D. Workflows on other objects that are being re triggered",Answer: C,,,,,,,,,,,,,,,,,,,,,,,
Question: 62,"To increase adoption, Universal Containers is proposing changes to its Salesforce data model to allow easier visibility for sales reps into key metrics. The proposal has three custom objects related to the Account object, one with a master-detail, and two that are not. Each of these objects has 15 fields they would like to summarize on the Account object.

What are two considerations for this proposal? Choose 2 answers

A. Roll-up summaries allow MAX, MIN, SUM, COUNT, and AVG. 
B. An object can have 20 object references.  
C. An object can have 25 roll-up summaries.  
D. Roll-up summaries are limited to master-detail relationships.
","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 63,"What are two capabilities of Schema Builder? Choose 2 answers

A. Editing custom settings  
B. Creating a new record type  
C. Showing selected objects on a page  
D. Viewing page layouts in a new window
","Answer: C, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 64,"Manage at Universal Containers want a quick to create additional accounts to form a hierarchy from a parent account record. They want to auto-populate five fields based on the parent to make it easier for users to create the child accounts quickly.

A. Custom Global Quick Action 
B. Custom Global Quick Account. 
C. Custom action on Account  
D. Custom link on Account",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 65,"DreamHouse Realty wants to import its property records from an external system into Salesforce. The app builder will use an external ID field to house the property ID from the external system. Which two details should the app builder know when using external ID fields?  
Choose 2 answers

A. An external ID field can be a number field. B. An external ID field can be a URL field.  
C. An external ID field can be a phone field. D. An external ID field can be a text field.","Answer: A, D",,,,,,,,,,,,,,,,,,,,,,,
Question: 66,"Universal Containers wants to display the real-time stock price for each Account on the Account record page.  
How should an app builder implement this request?

A. Create a Lightning Web Component.  
B. Install a solution from the AppExchange. 
C. Build a Flow that uses API calls.  
D. Use a scheduled Apex job.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 67,"Universal Containers wants to streamline its data capture process by linking fields together. They wish to do this so that the available value on dependents fields are driven by value selected on controlling fields. Which consideration supports the stated requirements? Choose 3 answers

A. The import wizard only allows value to be imported into a dependent picklist if they match the appropriate controlling field  
B. Custom picklist field can be either controlling or dependent field  
C. Multi select picklist can be dependent picklist but not controlling fields
D. Standard and custom picklist fields can be dependent fields.  
E. Checkbox fields can be controlling fields but not dependent fields","Answer: B, C, E",,,,,,,,,,,,,,,,,,,,,,,
Question: 68,"
DreamHouse Realty is rethinking its sandbox utilization strategy after acquiring Cloud Kicks. The Salesforce COE already utilizes a partial and a full sandbox, which it refreshes on their own regular schedules. Teams are expanding and have to begin each of their small projects in a sandbox before committing to the larger pool for collaborative testing while still keeping costs down.

What type of sandbox should each team member use?

A. Full sandbox  
B. Developer sandbox  
C. Developer pro sandbox 
D. Partial sandbox
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 69,"Ursa Major Solar's sales team has been struggling to enter data on mobile since rollout; the team dislikes scrolling through all of the fields to input only the necessary data.  
How could the app builder solve this with minimal impact to desktop users?

A. Filter components by device using Form Factor.  
B. Reorder the fields to make sense for the reps when in the field.  
C. Update the training documentation with better screenshots.  
D. Deselect the phone radio button on the Lightning record page assignment.",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 70,"An app builder is creating a Lightning record page and has added Mobile & Lightning Actions to the page layout.  
What two components could be included on the layout to display the actions?  
Choose 2 answers

A. Highlights panel 
B. Chatter  
C. Activities  
D. Path","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 71,"Universal Containers wants some enhancements on its Opportunity page layout to improve efficiency and collaboration.  
Which two solutions should an app builder suggest to help meet these requirements? Choose 2 answers

A. Mark stage dependent fields as required on the Opportunity page layout.  
B. Use two Tabs components to separate record information from activities.  
C. Add a Path component with fields and instructions aligning to stages on the Opportunity. 
D. Set up an approval process requiring manager consent at each stage of the Opportunity.","Answer: A, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 72,"Cloud Kicks (CK) Is finding sales reps are Inconsistent in data entry when deals are won. CK requires that custom shoes are shipped within two weeks after the close date. A custom field called Scheduled Ship Date on the opportunity records the ship date.How should the app butler ensure this field is properly filed out before setting the opportunity to closed won?

A. OR(ISPICKVAL( StageName ,""Closed Won"") && ( Scheduled_Ship_Date_cCloseDate)>14,ISBLANK(Scheduled_Ship_Date_c))  
B. OR(ISPICKVAL( StageName =""Closed Won"") && ( Scheduled_Ship_Date__c- CloseDate ) > 14,ISBLANK(Scheduled_Ship_Date__c))  
C. ISPICKVAL( StageName ,""Closed Won"") && ( Scheduled _Ship_Date_c-CloseDate ) > 14  
D. ISPICKVAL( StageName= CloseDate ) > 14,losed Won"") && ( CloseDateScheduled_Ship_Date_c) >14
",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 73,"An app builder wants to create a report to compare the number of support cases in each status (New, In-progress, or Closed) and by priority (Critical, High, Medium, or Low).  
What solution should be used for the report?

A. Grouping  
B. Bucket Columns  
C. Custom Report Type 
D. Filters",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
